"Laikotarpis","Rodiklis","Pajamų, sąnaudų, pelno sudedamosios dalys","Ekonominės veiklos rūšis (EVRK 2 red., 2 ženklų lygiu)","Matavimo vienetai","Reikšmė"
"2007K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","68087"
"2007K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","71223"
"2007K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","67552"
"2007K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","70284"
"2008K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","72014"
"2008K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","85900"
"2008K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","72930"
"2008K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","73838"
"2009K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","53156"
"2009K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","51839"
"2009K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","59045"
"2009K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","51611"
"2010K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","54110"
"2010K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","55441"
"2010K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","60344"
"2010K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","65191"
"2011K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","75674"
"2011K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","81864"
"2011K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","73569"
"2011K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","66634"
"2012K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","70536"
"2012K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","72172"
"2012K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","63516"
"2012K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","71981"
"2013K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","83615"
"2013K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","82596"
"2013K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","85031"
"2013K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","93992"
"2014K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","109054"
"2014K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","117035"
"2014K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Miškininkystė ir žuvininkystė","tūkst. EUR","122748"
